"complaint_id","complaint_text","complaint_date","complaint_source","complaint_language","customer_id","customer_type","city","state","product_category","product_name","payment_method","refund_requested","refund_status","delivery_partner","delivery_delay_days","complaint_status","first_response_time_minutes","resolution_time_hours","escalation_required","customer_feedback_rating","device_type","app_version","previous_complaints_count"
"CMP-2025-000001","Water dripping from the indoor unit directly onto our workstations. Urgent issue. Data could be damaged. Third time raising this complaint.","2023-02-02 00:05:00","Web Portal","English","CUST-76237","Data Centre","Delhi","Delhi","Light Commercial","Floor Standing 42CF","UPI","No","Not Requested","Shadowfax","10","Open","30","12","No","2","Desktop","4.1.2","1"
"CMP-2023-000002","Electricity bill doubled after installation of new Carrier unit. Star rating says 5-star but consumption is huge. Please don't just close the ticket without solving the issue.","2024-07-03 03:59:00","Dealer","English","CUST-82357","Maintenance Manager","Tirupur","Tamil Nadu","Air Purifiers","OptiClean OC-400","UPI","No","Not Requested","DTDC","0","Escalated","30","72","Yes","3","iPad","3.2.1","6"
"CMP-2024-000003","Emergency call under AMC. Was told 'our team will come today'. No one came. Called again next day. Same promise. Third day still waiting. Escalating to consumer forum if not resolved by tomorrow.","2023-06-17 14:24:00","Mobile App","Hindi","CUST-83000","Restaurant Owner","Mysuru","Karnataka","Air Purifiers","Klarwind KW-500","UPI","Yes","Rejected","FedEx","10","In Progress","25","720","No","4","iPhone","2.8.5","0"
"CMP-2024-000004","Indoor unit is not level. Water not draining properly because of tilt. Poor workmanship. Third time raising this complaint.","2024-08-20 12:23:00","Web Portal","English","CUST-76784","IT Park","Kolkata","West Bengal","Commercial","Air Handler AHU-5000","Net Banking","No","Not Requested","Delhivery","30","In Progress","180","168","Yes","1","Tablet","4.1.2","2"
"CMP-2023-000005","The drain pan is overflowing. Unit installed 6 months ago and this is the 3rd time this is happening. Poor installation quality suspected. This is absolutely ridiculous!!!","2024-05-27 05:32:00","Phone","Hindi","CUST-49117","Mall Operator","Kota","Rajasthan","Light Commercial","Ducted 40MAQ","RTGS","No","Not Requested","Rivigo","1","Open","2880","96","No","1","Android Phone","4.2.0","3"
"CMP-2023-000006","Compressor failed completely. Unit is under warranty. Require immediate replacement not repair. Do not waste my time. Under warranty. Do not charge us.","2024-07-16 05:16:00","Social Media","Hinglish","CUST-65461","Industrial Facility","Chandigarh","Punjab","Light Commercial","Carrier VRF X Power 38VYX","Cheque","No","Not Requested","XpressBees","20","Re-opened","480","336","Yes","3","iPhone","3.2.1","4"
"CMP-2023-000007","Third breakdown this year. We have CCTV footage of the same issue recurring. Requesting senior engineer visit and root cause analysis.","2023-12-05 02:32:00","Web Portal","English","CUST-97684","IT Park","Indore","Madhya Pradesh","Light Commercial","Floor Standing 42NQ","UPI","No","Not Requested","FedEx","5","In Progress","12","72","No","5","Laptop","4.3.1","1"
"CMP-2025-000008","Compressor trip ho raha hai bar bar. Error code E05 aa raha hai display mein. Kya karna chahiye? Please don't just close the ticket without solving the issue.","2023-05-24 13:11:00","Mobile App","English","CUST-42742","Office Admin","Aurangabad","Maharashtra","Commercial","Air Handler AHU-3000","EMI","Yes","Pending","Ekart","3","Pending Parts","360","504","No","1","Android Phone","3.3.5","6"
"CMP-2023-000009","Temperature in storage went to 12C during night without any alarm. Dairy products spoiled. Need investigation. Highly disappointed.","2023-03-01 18:47:00","Social Media","English","CUST-51104","Warehouse Operator","Chennai","Tamil Nadu","Refrigeration","Evaporator Unit EU-3000","EMI","No","Not Requested","Blue Dart","1","In Progress","240","12","Yes","1","Android Phone","2.8.5","2"
"CMP-2024-000010","The drain pan is overflowing. Unit installed 6 months ago and this is the 3rd time this is happening. Poor installation quality suspected. Need resolution within 24 hours.","2023-11-20 08:13:00","SMS","Tamil","CUST-51180","Restaurant Owner","Visakhapatnam","Andhra Pradesh","Refrigeration","Condensing Unit CR-5HP","NEFT","No","Not Requested","Carrier Own Fleet","0","Open","300","48","Yes","2","Android Phone","5.1.3","1"
"CMP-2025-000011","Refund approved by your team on email. Bank account details submitted. Still no transfer after 3 weeks. Please check. 😡 Very frustrated.","2024-09-18 20:33:00","Email","Hindi","CUST-82692","Maintenance Manager","Tiruchirappalli","Tamil Nadu","Commercial","Fan Coil Unit FCU-200","NEFT","Yes","Pending","Rivigo","2","Closed","60","48","No","4","iPhone","2.8.5","2"
"CMP-2025-000012","Compressor failure within 18 months. Manufacturer warranty should cover this. Do not send me to dealer. Carrier must take responsibility. This is absolutely ridiculous!!!","2023-06-15 23:28:00","Social Media","Tamil","CUST-66057","Educational Institution","Mumbai","Maharashtra","Commercial","Air Handler AHU-5000","Net Banking","No","Not Requested","Blue Dart","20","Resolved","240","8","Yes","4","Desktop","3.1.0","5"
"CMP-2023-000013","Technician suggested we buy a new unit. But this unit is only 14 months old!! Under warranty. Will escalate legally if needed. Please resolve on priority.","2024-02-27 00:11:00","Walk-in","English","CUST-97806","Restaurant Owner","Coimbatore","Tamil Nadu","Light Commercial","Cassette 42UFS","Cheque","Yes","Processed","Ekart","5","Re-opened","120","72","No","3","iPhone","3.1.0","1"
"CMP-2024-000014","Power factor of the unit is poor. Our electrical load increased significantly after Carrier system was installed.","2023-09-25 05:37:00","Mobile App","English","CUST-24208","Data Centre","Varanasi","Uttar Pradesh","Air Purifiers","OptiClean OC-800","RTGS","No","Not Requested","Shadowfax","1","In Progress","180","720","No","4","Android Phone","5.2.1","0"
