complaint_id,complaint_text,complaint_date,complaint_source,complaint_language,customer_id,customer_type,city,state,product_category,product_name,payment_method,refund_requested,refund_status,delivery_partner,delivery_delay_days,complaint_status,first_response_time_minutes,resolution_time_hours,escalation_required,customer_feedback_rating,device_type,app_version,previous_complaints_count
C00001,Complaint regarding Carrier CoolWall Island: unit has been LED lighting strip failed. Job card 737570 already raised. Requesting immediate technical support as business operations are directly impacted. Please assign a senior engineer. 😡,08-04-2022,Phone,English,CUS-11461,Office Building,Kanpur,Uttar Pradesh,Supermarket Refrigeration,Carrier CoolWall Island,Cheque,No,NA,Delhivery,3,Open,745,,No,,Phone Call,NA,2
C00002,I'm honestly at a breaking point. We spent everything we had on this Carrier ComfortPro CU-5TR and now it's capacitor failed. The technician visits have not solved anything and your support team seems to have no urgency about this at all. We are hemorrhaging money every single day. I'm requesting you as a human being - please help us resolve this.,23-05-2022,Field Engineer,English,CUS-43582,Shopping Mall,Ahmedabad,Gujarat,Condensing Unit,Carrier ComfortPro CU-5TR,Cash,No,NA,Delhivery,14,Escalated,169,,Yes,,Desktop,NA,7
C00003,"When we chose Carrier we thought we were choosing reliability and strong after-sales support. Unfortunately that's not been our experience. The OptiClean OC-UV is auto shut-off not working and has been for 2 weeks. Multiple calls and one failed service visit later, we still have the same problem. Very disappointing.",29-03-2024,Web Portal,Hindi-English,CUS-55290,Data Center,Jodhpur,Rajasthan,OptiClean Purifier,OptiClean OC-UV,Credit Card,Yes,Rejected,NA,0,In Progress,858,,No,,Desktop,NA,3
C00004,"Bhai yaar sun lo, Carrier VRF X Power 8TR ka kya haal kar diya hai. 17 din se compressor overload fault triggered ki problem chal rahi hai aur koi sunne wala nahi. 7 baar call kiya service pe, har baar same answer - 'sir kal aayenge'. Kal kabhi aata hi nahi. Paisa le liya, kaam kuch nahi. Bahut hi bekar experience hai.",25-09-2022,Web Portal,Hindi-English,CUS-26838,Dairy Plant,Hubli,Karnataka,Carrier VRF X Power,Carrier VRF X Power 8TR,UPI,No,NA,Blue Dart,25,Resolved,813,410,No,2,Desktop,NA,4
C00005,Following up on complaint for Carrier SlimLine Ducted which is static pressure too high. Response time so far has exceeded SLA. Please update on spare part availability and engineer visit schedule. Operations are being impacted. 😤,22-08-2023,WhatsApp,English,CUS-82779,Food Processing Unit,Patna,Bihar,Ducted AC,Carrier SlimLine Ducted,NEFT,No,NA,FedEx,1,In Progress,102,,Yes,,Mobile,NA,5
C00006,"Wow, what a premium experience this has been. Spent ₹200,000 on the Carrier InvCU-5TR and it's already tripping on overload. Your customer support put me on hold for 40 minutes and then disconnected. Truly five-star service. Really makes a customer feel valued. This is my 5th complaint for same issue!",21-01-2023,Field Engineer,English,CUS-67165,Warehouse,Cuttack,Odisha,Inverter Condensing Unit,Carrier InvCU-5TR,Cheque,No,NA,Self-Delivery,5,In Progress,701,,No,,Tablet,NA,0
C00007,"Sir hum bahut pareshan hain. Humara Carrier 1.5T Cassette remote sensor giving wrong temperature de raha hai 4 hafte se. Aapke service center mein complaint di, koi update nahi aaya. Manager se request ki baat karne ki, woh bhi busy hain. Yeh kya service hai? Carrier se itni umeed nahi thi hume. This is my 3th complaint for same issue! Nobody from your regional office is responding either.",12-10-2023,Service Center,Hinglish,CUS-99594,Restaurant,Tiruppur,Tamil Nadu,Cassette AC,Carrier 1.5T Cassette,Purchase Order,No,NA,Delhivery,3,Closed,1013,439,No,1,Tablet,NA,0
C00008,"Oh absolutely FANTASTIC service as always! The OptiClean OC-400 has been showing filter replacement error constantly for 12 days now. Your team promised a visit in 24 hours - that was 2 weeks ago. I'm sure the engineer is just taking a very long scenic route to our location. 10 out of 10, would absolutely not recommend. Job card #104528 already logged. This is my 3th complaint for same issue!",01-12-2023,App,English,CUS-28731,Data Center,Kanpur,Uttar Pradesh,OptiClean Purifier,OptiClean OC-400,UPI,Yes,Approved,Self-Delivery,24,Resolved,886,154,No,1,Mobile,4.6.7,4
C00009,The Carrier 19XR at our facility is leaking refrigerant. Our maintenance team has inspected but the issue requires certified Carrier service. Active AMC in place. Please prioritize and confirm visit schedule.,16-11-2023,Web Portal,English,CUS-84001,Ice Cream Parlour,Belagavi,Karnataka,Chiller/Heat Pump,Carrier 19XR,UPI,No,NA,Self-Delivery,17,In Progress,153,,No,,Desktop,NA,3
C00010,"You people took ₹250,000 from us and your Carrier 39HQ cannot even function properly for 9 months!! It has been fan belt snapped and your so-called support team keeps giving excuses. Done waiting. I want a full refund or brand new replacement. Not interested in any more repairs. Nobody from your regional office is responding either.",14-02-2022,App,English,CUS-19707,Restaurant,Hyderabad,Telangana,Commercial Air Handler,Carrier 39HQ,Credit Card,No,NA,FedEx,0,Open,739,,Yes,,Mobile,3.3.8,5
